Date,First dose injected,Second dose injected,7-day average
18/08/2021,"321,787","76,244","615,831"
19/08/2021,"1,430,590","73,703","677,075"
20/08/2021,"119,987","70,694","600,329"
21/08/2021,"286,654","84,182","565,738"
22/08/2021,"255,276","43,100","535,757"
23/08/2021,"187,120","87,965","490,469"
24/08/2021,"315,522","116,938","495,680"
25/08/2021,"330,630","100,294","500,379"
26/08/2021,"202,744","95,468","328,082"
27/08/2021,"210,758","93,418","344,296"
28/08/2021,"158,855","102,774","328,695"
29/08/2021,"168,836","93,202","323,503"
30/08/2021,"150,074","94,779","319,185"
31/08/2021,"123,038","107,377","290,321"
01/09/2021,"147,084","154,990","271,914"
02/09/2021,"205,652","77,569","269,772"
03/09/2021,"121,716","88,403","256,336"
04/09/2021,"185,361","151,020","267,014"
05/09/2021,"426,867","140,238","310,595"
06/09/2021,"429,314","105,623","352,036"
07/09/2021,"447,660","324,277","429,396"
08/09/2021,"357,574","421,099","497,482"
09/09/2021,"891,008","277,804","623,995"
10/09/2021,"902,520","273,178","761,935"
11/09/2021,"700,498","315,561","859,032"
12/09/2021,"797,214","269,734","930,438"
13/09/2021,"726,258","295,344","999,961"
14/09/2021,"653,384","213,284","1,013,494"
15/09/2021,"561,373","154,177","1,004,477"
16/09/2021,"434,461","195,862","927,550"
17/09/2021,"290,448","162,369","824,281"
18/09/2021,"284,641","170,676","744,175"
19/09/2021,"310,285","122,290","653,550"
20/09/2021,"358,847","143,646","579,392"
21/09/2021,"470,137","146,453","543,666"
22/09/2021,"335,648","127,949","507,673"
23/09/2021,"392,600","201,303","502,470"
24/09/2021,"490,288","296,133","550,128"
25/09/2021,"397,100","390,738","597,631"
26/09/2021,"525,335","340,275","659,493"
27/09/2021,"569,112","310,506","713,368"
28/09/2021,"712,708","384,336","782,004"
29/09/2021,"469,128","514,711","856,325"
30/09/2021,"384,795","322,337","872,500"
01/10/2021,"452,668","307,975","868,818"
02/10/2021,"623,616","355,969","896,210"
03/10/2021,"467,645","391,537","895,292"
04/10/2021,"692,643","739,988","974,294"
05/10/2021,"540,797","607,760","981,653"
06/10/2021,"501,917","584,721","996,338"
07/10/2021,"648,135","850,422","1,109,399"
08/10/2021,"469,694","585,808","1,151,522"
09/10/2021,"554,194","729,905","1,195,024"
10/10/2021,"271,054","608,895","1,197,990"
11/10/2021,"460,429","559,610","1,139,049"
12/10/2021,"686,812","352,562","1,123,451"
13/10/2021,"696,455","308,600","1,111,796"
14/10/2021,"921,430","389,610","1,085,008"
15/10/2021,"923,669","430,140","1,127,624"
16/10/2021,"1,026,742","227,701","1,123,387"
17/10/2021,"1,010,058","302,592","1,185,201"
18/10/2021,"1,176,104","346,494","1,256,996"
19/10/2021,"1,403,259","587,279","1,392,876"
20/10/2021,"1,357,394","371,547","1,496,288"
21/10/2021,"744,159","696,407","1,514,792"
22/10/2021,"1,083,134","577,447","1,558,617"
23/10/2021,"622,319","314,420","1,513,230"
24/10/2021,"701,590","419,361","1,485,845"
25/10/2021,"561,089","359,309","1,399,816"
26/10/2021,"609,380","407,899","1,260,779"
27/10/2021,"778,533","392,434","1,181,069"
28/10/2021,"975,655","736,780","1,219,907"
29/10/2021,"1,038,022","550,170","1,209,566"
30/10/2021,"508,229","419,427","1,208,268"
31/10/2021,"287,461","266,014","1,127,200"
01/11/2021,"757,227","520,338","1,178,224"
02/11/2021,"449,082","523,708","1,171,869"
03/11/2021,"338,903","435,151","1,115,167"
04/11/2021,"477,468","887,681","1,065,554"
05/11/2021,"845,743","1,179,858","1,128,041"
06/11/2021,"583,408","631,329","1,169,053"
07/11/2021,"429,789","557,832","1,231,074"
08/11/2021,"565,809","970,639","1,268,057"
09/11/2021,"795,034","851,906","1,364,364"
10/11/2021,"729,762","917,178","1,489,062"
11/11/2021,"197,615","802,433","1,436,905"
12/11/2021,"584,952","882,764","1,357,207"
13/11/2021,"243,387","850,436","1,339,934"
14/11/2021,"174,350","674,800","1,320,152"
15/11/2021,"277,124","812,093","1,256,262"
16/11/2021,"385,293","712,246","1,177,776"
17/11/2021,"471,971","992,481","1,151,706"
18/11/2021,"475,620","848,822","1,198,048"
